,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4247,67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31187682,43.391540,-79.760350
4248,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.39543974,42.233950,-82.996110
4249,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.33899404,42.233950,-82.996110
4250,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.58883539,42.233950,-82.996110
4251,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.34071441,42.233950,-82.996110
4252,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.43010883,42.233950,-82.996110
4253,67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.4296031,42.233950,-82.996110
4254,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.37379182,42.247750,-82.952580
4255,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.40219907,42.247750,-82.952580
4256,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.36609929,42.247750,-82.952580
4257,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.53471126,42.247750,-82.952580
4258,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.45216443,42.247750,-82.952580
4259,67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.31114588,42.247750,-82.952580
4260,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45390331,38.890370,-77.031960
4261,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.46276974,38.890370,-77.031960
4262,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45292033,38.890370,-77.031960
4263,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45193778,38.890370,-77.031960
4264,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.46211176,38.890370,-77.031960
4265,67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45521463,38.890370,-77.031960
4266,67612,FLYING J TRAVEL PLAZA #914- TOWN PUMP,"I-90, EXIT 96 & US-93/SR-200",Missoula,MT,820,3.609,46.949370,-114.131230
4267,67613,KWIK STAR #490,"US-20, EXIT 225 & SR-27/SR-58",Cedar Falls,IA,565,3.524,42.464090,-92.527700
4268,67614,KWIK TRIP #622,US-14 & CR-5,Byron,MN,515,3.574,44.029400,-92.648300
4269,67615,KWIK TRIP #844,US-63,Lake City,MN,515,3.549,44.386430,-92.359160
4270,67616,KWIK TRIP #887,"US-41, EXIT 139 & SR-15",Appleton,WI,582,3.30233333,44.272940,-88.404750
4271,67617,Twice Daily Convenience Store #8046,"I-24, EXIT 31 & SR-249",Joelton,TN,460,3.349,36.349240,-86.930520
4272,67618,7-ELEVEN #40441,I-80 MM 21E,West Unity,OH,550,3.66233333,41.606380,-84.458830
